genero;edad;distancia;comida;limpieza;retraso;satisfaccion
Male;13;460;5;5;25;neutral or dissatisfied
Male;25;235;1;1;1;neutral or dissatisfied
Female;26;1142;5;5;0;satisfied
Female;25;562;2;2;11;neutral or dissatisfied
Male;61;214;4;3;0;satisfied
Female;26;1180;1;1;0;neutral or dissatisfied
Male;47;1276;2;2;9;neutral or dissatisfied
Female;52;2035;5;4;4;satisfied
Female;41;853;4;2;0;neutral or dissatisfied
Male;20;1061;2;2;0;neutral or dissatisfied
Female;24;1182;2;2;0;neutral or dissatisfied
Female;12;308;1;1;0;neutral or dissatisfied
Male;53;834;1;1;28;neutral or dissatisfied
Male;33;946;4;4;0;satisfied
Female;26;453;2;2;43;neutral or dissatisfied
Male;13;486;4;4;1;neutral or dissatisfied
Female;26;2123;4;4;49;satisfied
Male;41;2075;4;5;0;satisfied
Female;45;2486;3;4;7;satisfied
Male;38;460;5;5;17;neutral or dissatisfied
Male;9;1174;2;2;0;neutral or dissatisfied
Female;17;208;5;5;0;neutral or dissatisfied
Female;43;752;5;4;52;neutral or dissatisfied
Female;58;2139;4;2;0;neutral or dissatisfied
Female;23;452;1;1;54;satisfied
Male;57;719;5;5;27;neutral or dissatisfied
Female;33;1561;1;2;0;satisfied
Female;49;315;2;2;0;satisfied
Female;36;3347;1;2;18;neutral or dissatisfied
Male;22;2342;3;3;19;neutral or dissatisfied
Female;31;819;5;5;0;satisfied
Female;15;1043;5;5;3;neutral or dissatisfied
Female;35;2611;4;4;109;satisfied
Female;67;1192;2;5;18;neutral or dissatisfied
Male;37;1182;1;1;9;neutral or dissatisfied
Female;40;349;1;1;0;neutral or dissatisfied
Female;34;883;5;5;0;neutral or dissatisfied
Male;40;550;2;2;23;neutral or dissatisfied
Female;47;302;2;4;23;satisfied
Male;41;354;1;1;0;neutral or dissatisfied
Male;39;1734;3;3;0;satisfied
Female;25;1452;3;3;9;neutral or dissatisfied
Male;41;296;2;3;0;satisfied
